@id,@type,station,timestamp,rawMessage,textDescription,icon,presentWeather,elevation_value,temperature_value,dewpoint_value,windDirection_value,windSpeed_value,windGust_value,barometricPressure_value,seaLevelPressure_value,visibility_value,maxTemperatureLast24Hours_value,minTemperatureLast24Hours_value,precipitationLastHour_value,precipitationLast3Hours_value,precipitationLast6Hours_value,relativeHumidity_value,windChill_value,heatIndex_value,cloudLayers_value
https://api.weather.gov/stations/KLGA/observations/2024-05-14T07:51:00+00:00,wx:ObservationStation,https://api.weather.gov/stations/KLGA,2024-05-14T07:51:00+00:00,KLGA 140751Z 16006KT 10SM FEW120 SCT250 13/09 A3001 RMK AO2 SLP160 T01330089 $,Partly Cloudy,https://api.weather.gov/icons/land/night/sct?size=medium,[],9,13.3,8.9,160.0,11.16,,101630.0,101600.0,16090,,,,,,74.688740763976,,,
https://api.weather.gov/stations/KLGA/observations/2024-05-13T09:51:00+00:00,wx:ObservationStation,https://api.weather.gov/stations/KLGA,2024-05-13T09:51:00+00:00,KLGA 130951Z 27006KT 10SM BKN017 BKN250 10/07 A3005 RMK AO2 SLP174 T01000067,Mostly Cloudy,https://api.weather.gov/icons/land/day/bkn?size=medium,[],9,10.0,6.7,270.0,11.16,,101760.0,101740.0,16090,,,,,,79.956420984676,,,
https://api.weather.gov/stations/KLGA/observations/2024-05-12T06:51:00+00:00,wx:ObservationStation,https://api.weather.gov/stations/KLGA,2024-05-12T06:51:00+00:00,KLGA 120651Z 14009KT 10SM FEW025 BKN055 OVC100 11/04 A2984 RMK AO2 RAE40 SLP105 P0000 T01060044,Cloudy,https://api.weather.gov/icons/land/night/ovc?size=medium,[],9,10.6,4.4,140.0,16.56,,101050.0,101050.0,16090,,,0.0,,,65.496980088065,,,
https://api.weather.gov/stations/KLGA/observations/2024-05-09T01:51:00+00:00,wx:ObservationStation,https://api.weather.gov/stations/KLGA,2024-05-09T01:51:00+00:00,KLGA 090151Z 25010G20KT 10SM FEW080 SCT200 BKN250 27/07 A2954 RMK AO2 SLP004 T02720067 $,Mostly Cloudy,https://api.weather.gov/icons/land/night/bkn?size=medium,[],9,27.2,6.7,250.0,18.36,,100030.0,100040.0,16090,,,,,,27.222211948352,,26.440659463350556,
https://api.weather.gov/stations/KLGA/observations/2024-05-13T11:57:00+00:00,wx:ObservationStation,https://api.weather.gov/stations/KLGA,2024-05-13T11:57:00+00:00,KLGA 131157Z 33003KT 10SM FEW009 BKN013 BKN250 12/07 A3007 RMK AO2 T01170072,Mostly Cloudy,https://api.weather.gov/icons/land/day/bkn?size=medium,[],9,11.7,7.2,330.0,5.4,,101830.0,,16090,,,,,,73.905075949333,,,
https://api.weather.gov/stations/KLGA/observations/2024-05-12T15:51:00+00:00,wx:ObservationStation,https://api.weather.gov/stations/KLGA,2024-05-12T15:51:00+00:00,KLGA 121551Z 17008KT 8SM -RA SCT018 BKN025 OVC031 10/06 A2991 RMK AO2 SLP129 P0001 T01000061,Light Rain,https://api.weather.gov/icons/land/day/rain?size=medium,"[{'intensity': 'light', 'modifier': None, 'weather': 'rain', 'rawString': '-RA'}]",9,10.0,6.1,170.0,14.76,,101290.0,101290.0,12870,,,0.0,,,76.720923803697,,,
https://api.weather.gov/stations/KLGA/observations/2024-05-13T14:13:00+00:00,wx:ObservationStation,https://api.weather.gov/stations/KLGA,2024-05-13T14:13:00+00:00,,,,[],9,12.2,7.8,230.0,11.16,,101860.0,,16090,,,,,,74.499044679056,,,
https://api.weather.gov/stations/KLGA/observations/2024-05-12T07:51:00+00:00,wx:ObservationStation,https://api.weather.gov/stations/KLGA,2024-05-12T07:51:00+00:00,KLGA 120751Z 16009KT 10SM FEW019 BKN060 OVC090 10/05 A2984 RMK AO2 SLP105 T01000050,Cloudy,https://api.weather.gov/icons/land/night/ovc?size=medium,[],9,10.0,5.0,160.0,16.56,,101050.0,101050.0,16090,,,,,,71.088489426375,,,
https://api.weather.gov/stations/KLGA/observations/2024-05-11T19:51:00+00:00,wx:ObservationStation,https://api.weather.gov/stations/KLGA,2024-05-11T19:51:00+00:00,KLGA 111951Z 18012G19KT 10SM FEW050 SCT100 BKN250 14/04 A2983 RMK AO2 SLP101 T01390044,Mostly Cloudy,https://api.weather.gov/icons/land/day/bkn?size=medium,[],9,13.9,4.4,180.0,22.32,,101020.0,101010.0,16090,,,,,,52.725443601338,,,
https://api.weather.gov/stations/KLGA/observations/2024-05-11T06:51:00+00:00,wx:ObservationStation,https://api.weather.gov/stations/KLGA,2024-05-11T06:51:00+00:00,KLGA 110651Z 33007KT 10SM FEW020 OVC140 10/07 A2983 RMK AO2 SLP101 T01000067,Cloudy,https://api.weather.gov/icons/land/night/ovc?size=medium,[],9,10.0,6.7,330.0,12.96,,101020.0,101010.0,16090,,,,,,79.956420984676,,,
